
2024/12/24 (12:24:10) | ===> btop++ v.1.3.2
2024/12/24 (12:24:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/28 (21:09:01) | ===> btop++ v.1.4.0
2025/01/28 (21:09:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2025/02/02 (18:23:08) | ===> btop++ v.1.4.0
2025/02/02 (18:23:08) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/05/27 (14:37:14) | ===> btop++ v.1.4.0
2025/05/27 (14:37:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/28 (00:17:14) | ===> btop++ v.1.4.0
2025/05/28 (00:17:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/28 (00:17:23) | ===> btop++ v.1.4.0
2025/05/28 (00:17:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/31 (23:52:55) | ===> btop++ v.1.4.0
2025/05/31 (23:52:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
